Starting live trading engine...
Starting live trading engine...
Starting live trading engine...
Starting live trading engine...
Starting live trading engine...
[2025-11-22T16:24:26.391775+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:26.411140+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:27.410600+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:27.418844+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:28.419185+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:28.423562+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:29.425904+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:29.427999+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:30.431801+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:30.434845+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:31.435646+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:31.440412+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:32.449232+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:32.451233+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:33.457857+00:00] Status: success | New trades: 0 | Total: 39
Error in trading cycle: [Errno 2] No such file or directory: 'logs_live/live_trades.csv.tmp' -> 'logs_live/live_trades.csv'
[2025-11-22T16:24:34.463238+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:35.473198+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:36.479135+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:37.494346+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:38.477815+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:38.497063+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:39.486989+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:39.501364+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:40.497155+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:40.508295+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:41.503300+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:41.516776+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:42.509755+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:42.538599+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:43.525127+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:43.542753+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:44.533763+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:44.549967+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:45.542719+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:45.558583+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:46.552742+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:46.566264+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:47.561507+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:47.583201+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:48.580135+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:48.585935+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:49.592341+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:49.594203+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:50.601171+00:00] Status: success | New trades: 0 | Total: 39
Error in trading cycle: [Errno 2] No such file or directory: 'logs_live/live_trades.csv.tmp' -> 'logs_live/live_trades.csv'
[2025-11-22T16:24:51.607230+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:52.613316+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:53.628431+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:54.639172+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:55.623481+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:55.645545+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:56.632395+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:56.653376+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:57.639339+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:57.665111+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:58.642961+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:58.676305+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:59.650359+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:59.683906+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:00.669785+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:00.688739+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:01.678322+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:01.698292+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:02.683844+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:02.700852+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:03.692821+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:03.716892+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:04.699095+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:04.722060+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:05.718845+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:05.724383+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:06.720699+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:06.725974+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:07.724833+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:07.730428+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:08.735109+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:08.747799+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:09.745037+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:09.756358+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:10.760731+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:10.762055+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:11.768436+00:00] Status: success | New trades: 0 | Total: 39Error in trading cycle: [Errno 2] No such file or directory: 'logs_live/live_trades.csv.tmp' -> 'logs_live/live_trades.csv'

[2025-11-22T16:25:12.775601+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:13.781142+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:14.788365+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:25:15.806816+00:00] Status: success | New trades: 2 | Total: 41
[2025-11-22T16:25:16.783118+00:00] Status: success | New trades: 4 | Total: 43
[2025-11-22T16:25:16.813843+00:00] Status: success | New trades: 0 | Total: 41
[2025-11-22T16:25:17.788725+00:00] Status: success | New trades: 0 | Total: 43
[2025-11-22T16:25:17.820252+00:00] Status: success | New trades: 0 | Total: 41
[2025-11-22T16:25:18.795465+00:00] Status: success | New trades: 0 | Total: 43
[2025-11-22T16:25:18.826650+00:00] Status: success | New trades: 0 | Total: 41
[2025-11-22T16:25:19.803071+00:00] Status: success | New trades: 0 | Total: 43
[2025-11-22T16:25:19.830092+00:00] Status: success | New trades: 0 | Total: 41
[2025-11-22T16:25:20.809774+00:00] Status: success | New trades: 0 | Total: 43
[2025-11-22T16:25:20.851591+00:00] Status: success | New trades: 12 | Total: 53
[2025-11-22T16:25:21.822694+00:00] Status: success | New trades: 13 | Total: 56
[2025-11-22T16:25:21.854508+00:00] Status: success | New trades: 0 | Total: 53
[2025-11-22T16:25:22.830364+00:00] Status: success | New trades: 0 | Total: 56
[2025-11-22T16:25:22.860946+00:00] Status: success | New trades: 0 | Total: 53
[2025-11-22T16:25:23.836379+00:00] Status: success | New trades: 0 | Total: 56
[2025-11-22T16:25:23.863252+00:00] Status: success | New trades: 0 | Total: 53
[2025-11-22T16:25:24.847002+00:00] Status: success | New trades: 0 | Total: 56
[2025-11-22T16:25:24.870283+00:00] Status: success | New trades: 0 | Total: 53
[2025-11-22T16:25:25.854123+00:00] Status: success | New trades: 0 | Total: 56
[2025-11-22T16:25:25.883140+00:00] Status: success | New trades: 13 | Total: 66
[2025-11-22T16:25:26.863499+00:00] Status: success | New trades: 13 | Total: 69
[2025-11-22T16:25:26.889320+00:00] Status: success | New trades: 0 | Total: 66
[2025-11-22T16:25:27.870986+00:00] Status: success | New trades: 0 | Total: 69
[2025-11-22T16:25:27.895043+00:00] Status: success | New trades: 0 | Total: 66
[2025-11-22T16:25:28.878266+00:00] Status: success | New trades: 0 | Total: 69
[2025-11-22T16:25:28.903651+00:00] Status: success | New trades: 0 | Total: 66
[2025-11-22T16:25:29.886113+00:00] Status: success | New trades: 0 | Total: 69
[2025-11-22T16:25:29.910796+00:00] Status: success | New trades: 0 | Total: 66
[2025-11-22T16:25:30.891443+00:00] Status: success | New trades: 0 | Total: 69
[2025-11-22T16:25:30.926040+00:00] Status: success | New trades: 10 | Total: 76
[2025-11-22T16:25:31.904973+00:00] Status: success | New trades: 7 | Total: 76
[2025-11-22T16:25:31.930822+00:00] Status: success | New trades: 0 | Total: 76
[2025-11-22T16:25:32.912370+00:00] Status: success | New trades: 0 | Total: 76
[2025-11-22T16:25:32.940605+00:00] Status: success | New trades: 0 | Total: 76
[2025-11-22T16:25:33.917418+00:00] Status: success | New trades: 0 | Total: 76
